Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Quality Score,Exp. CTR,Landing page exp.,Ad relevance,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,"""deck company leesburg""",Phrase match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""trex deck leesburg""",Phrase match,loudoun decks,Deck Builder - Leesburg,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builders potomac falls va],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builders near me],Exact match,loudoun decks,Deck Builder - Leesburg,Not eligible,low quality; campaign paused,,91,3,3.30%,USD,20.85,62.56,2,Below average,Below average,Average,3,33.33%,1.00,20.85,62.56
Enabled,"""deck contractor potomac falls""",Phrase match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Paused,"""trex deck sterling""",Phrase match,loudoun decks,Deck Builder - Sterling,Paused,paused; rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck installation sterling""",Phrase match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""build a new deck near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck construction near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,3,0,0.00%,USD,0,0.00,4,Below average,Average,Average,0,0.00%,0.00,0,0.00
Enabled,[deck builder northern virginia],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[trex deck builder potomac falls],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""wood deck leesburg""",Phrase match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck installation leesburg""",Phrase match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck replacement sterling""",Phrase match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Paused,[deck repair loudoun county],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck installation potomac falls""",Phrase match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck company leesburg va],Exact match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck installation potomac falls va],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""replace my deck""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,66,1,1.52%,USD,24.07,24.07, --, --, --, --,1,0.00%,0.00,24.07,0.00
Enabled,[deck builder leesburg],Exact match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,14,0,0.00%,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck replacement potomac falls""",Phrase match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Paused,[deck and porch builders near me],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck company sterling""",Phrase match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck builder potomac falls""",Phrase match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[best deck builders near me],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck contractor sterling""",Phrase match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builder near me],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,low quality; campaign paused,,39,1,2.56%,USD,17.98,17.98,2,Below average,Below average,Average,1,0.00%,0.00,17.98,0.00
Enabled,"""deck company potomac falls""",Phrase match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck company potomac falls va],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck contractor sterling va],Exact match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""cost to replace deck""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[custom deck builder potomac falls],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck replacement near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,17,3,17.65%,USD,6.71,20.13,5,Below average,Above average,Below average,3,0.00%,0.00,6.71,0.00
Paused,[deck refinishing near me],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck contractor potomac falls va],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builder potomac falls],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[custom deck builders near me],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""custom deck potomac falls""",Phrase match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builder sterling],Exact match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck builder leesburg""",Phrase match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""composite deck sterling""",Phrase match,loudoun decks,Deck Builder - Sterling,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Paused,[outside decks and patios],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck contractor leesburg va],Exact match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck installers near me],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,3,0,0.00%,USD,0,0.00,5,Below average,Above average,Below average,0,0.00%,0.00,0,0.00
Enabled,"""deck installers near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00,5,Below average,Above average,Below average,0,0.00%,0.00,0,0.00
Enabled,"""deck repair leesburg""",Phrase match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00,4,Below average,Average,Average,0,0.00%,0.00,0,0.00
Enabled,[deck company potomac falls],Exact match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[custom deck builder leesburg],Exact match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,2,0,0.00%,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""wood deck sterling""",Phrase match,loudoun decks,Deck Builder - Sterling,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck replacement leesburg va],Exact match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck contractor leesburg],Exact match,loudoun decks,Deck Builder - Leesburg,Not eligible,campaign paused,,6,0,0.00%,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""composite deck potomac falls""",Phrase match,loudoun decks,Deck Builder - Potomac Falls,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck builder loudoun county""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck builder near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,,3,0,0.00%,USD,0,0.00,3,Below average,Average,Below average,0,0.00%,0.00,0,0.00
