Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
deck builders,USD,4400,14%,39%,Low,25,6.39,31.23,9%,,,Y,,880,1300,1000,880,5400,6600,8100,14800,6600,880,880,1000
deck builder near me,USD,1000,60%,-45%,Low,32,12.86,48.69,15%,,,Y,,1300,1000,1000,590,880,880,1000,1000,1000,1000,880,1600
deck company near me,USD,210,325%,-76%,High,94,17.73,50.74,42%,,,,,260,320,320,140,210,260,320,390,170,40,140,170
deck construction near me,USD,20,-80%,-67%,High,67,,,10%,,,Y,,10,20,20,10,10,20,10,10,10,50,10,10
best deck builders near me,USD,30,100%,0%,High,71,14.65,73.6,35%,,,Y,,20,10,50,20,30,30,50,20,20,10,10,20
deck contractors near me,USD,1000,60%,-45%,Low,32,12.86,48.69,15%,,,,,1300,1000,1000,590,880,880,1000,1000,1000,1000,880,1600
deck company,USD,3600,150%,-55%,High,78,15.36,46.5,38%,,,Y,,70,90,50,50,4400,5400,8100,14800,6600,20,10,50
deck and patio builders near me,USD,10,0%,-67%,Medium,38,,,10%,,,,,40,20,10,10,10,10,10,10,10,10,10,10
deck installers near me,USD,20,50%,0%,Medium,53,14.85,50,33%,,,Y,,40,20,10,10,20,20,10,10,10,20,90,30
deck contractor,USD,2900,57%,-48%,Low,31,7.6,41.82,16%,,,Y,,170,170,170,140,4400,5400,6600,14800,6600,70,50,110
affordable deck builders near me,USD,10,?,0%,High,100,,,,,,,,0,10,0,10,0,10,10,10,0,0,10,10
decks near me,USD,1000,60%,-45%,Low,32,12.86,48.69,15%,,,,,1300,1000,1000,590,880,880,1000,1000,1000,1000,880,1600
deck replacement near me,USD,30,100%,33%,Medium,52,15.8,44.07,5%,,,Y,,90,10,20,20,40,20,10,10,10,20,70,40
deck designers near me,USD,10,?,0%,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,0,0,10
deck and patio contractors near me,USD,20,-86%,-33%,High,75,31.07,63.6,10%,,,Y,,40,30,10,10,20,10,10,10,10,140,10,20
deck quotes near me,USD,10,0%,?,High,75,,,10%,,,,,0,10,10,10,10,0,10,0,0,10,0,10
deck remodeling near me,USD,10,0%,-50%,Medium,62,14.26,69.43,,,,Y,,20,20,10,10,10,20,10,40,10,10,10,10
deck replacement contractors,USD,30,200%,50%,Low,18,,,3%,,,Y,,10,20,40,70,30,140,20,10,10,10,20,30
custom deck builders near me,USD,30,40%,600%,Low,11,,,7%,,,Y,,70,10,20,10,50,30,10,10,0,50,10,70
decks by design,USD,10,0%,0%,Medium,43,,,,,,Y,,10,0,10,0,10,0,0,0,10,10,10,10
virginia deck builders,USD,50,-59%,75%,Medium,56,9.56,40.1,20%,,,Y,,40,40,70,30,70,40,50,30,10,170,70,70
wood deck builders near me,USD,10,?,?,High,100,,,,,,Y,,0,10,10,10,0,0,10,0,0,0,0,10
deck building companies near me,USD,1000,60%,-45%,Low,32,12.86,48.69,15%,,,Y,,1300,1000,1000,590,880,880,1000,1000,1000,1000,880,1600
deck repair contractors near me,USD,10,0%,0%,High,97,13.38,22.51,30%,,,,,0,10,10,10,10,10,10,0,10,10,10,10
patio builders near me,USD,90,-29%,-44%,High,94,11.59,46.01,4%,,,,,70,110,210,50,170,140,90,30,70,70,20,50
patio and deck builders near me,USD,10,0%,-67%,Medium,38,,,10%,,,,,40,20,10,10,10,10,10,10,10,10,10,10
deck builders in my area,USD,20,0%,0%,High,75,15.88,25.29,20%,,,Y,,50,50,40,20,20,10,10,10,0,10,0,10
deck remodeling,USD,20,300%,0%,High,69,11.2,30,8%,,,Y,,40,30,30,30,30,10,10,10,10,10,10,40
amish deck builders near me,USD,10,?,0%,High,86,,,,,,,,0,10,10,10,10,10,10,0,10,0,10,10
custom decks near me,USD,30,40%,600%,Low,11,,,7%,,,Y,,70,10,20,10,50,30,10,10,0,50,10,70
deck replacement contractors near me,USD,10,0%,?,High,100,,,40%,,,Y,,0,10,0,0,10,0,10,0,0,10,0,10
custom decks,USD,10,-67%,0%,Low,14,,,,,,Y,,10,10,10,10,10,10,10,10,10,30,20,10
deck work near me,USD,10,?,?,High,83,3.37,51.71,20%,,,,,10,10,10,0,10,10,0,10,0,0,0,10
deck builders with financing near me,USD,10,0%,0%,High,93,,,,,,,,0,10,0,10,0,10,0,10,10,10,0,10
deck and patio builders,USD,10,50%,200%,Medium,34,15.16,30.83,7%,,,Y,,10,20,10,10,10,10,20,10,10,20,10,30
deck and porch builders near me,USD,10,0%,0%,Medium,60,,,,,,Y,,10,10,30,10,10,10,10,10,10,10,0,10
deck installers,USD,90,100%,-33%,Low,14,9.2,24.82,2%,,,Y,,110,70,50,30,90,110,140,90,20,70,170,140
porch and deck builders near me,USD,10,0%,0%,Medium,60,,,,,,Y,,10,10,30,10,10,10,10,10,10,10,0,10
local deck builders,USD,10,0%,0%,Medium,44,,,,,,Y,,10,10,20,10,20,70,10,10,10,10,10,10
composite deck builders near me,USD,20,0%,0%,High,77,,,10%,,,Y,,10,10,10,20,10,30,90,20,10,10,10,10
deck renovation near me,USD,10,0%,0%,Medium,66,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10
decks decks and more decks,USD,10,0%,-100%,Unknown,,,,,,,Y,,0,0,10,0,0,0,0,0,0,0,0,0
deck construction,USD,70,133%,0%,Medium,34,6.48,23.77,7%,,,Y,,90,50,110,50,90,90,40,30,50,30,30,70
best deck contractors near me,USD,10,0%,-50%,Low,25,,,,,,Y,,0,10,0,0,10,0,10,0,0,10,0,10
decks and more,USD,10,-100%,0%,Unknown,,,,,,,,,10,0,10,10,10,10,10,0,0,10,10,0
deck remodelers near me,USD,10,0%,-100%,Unknown,,,,,,,Y,,0,10,10,0,0,0,0,0,0,0,0,0
outdoor deck builders near me,USD,10,?,-50%,High,100,,,,,,Y,,10,10,10,10,0,0,0,0,0,0,0,10
deck replacement,USD,40,100%,0%,High,89,11.35,33.65,35%,,,Y,,40,70,40,20,30,70,50,20,10,20,10,40
trex deck builders near me,USD,20,0%,?,High,67,,,50%,,,Y,,10,10,10,10,10,30,70,40,40,10,10,10
deck contractors in my area,USD,10,?,0%,High,73,5.33,31.71,10%,,,Y,,10,10,10,10,20,10,10,10,10,0,10,10
deck repair contractors,USD,50,250%,250%,Low,5,,,,,,Y,,20,40,70,70,110,90,50,30,10,20,20,70
decks and porches,USD,10,0%,-67%,High,75,3.12,29.18,,,,Y,,20,10,20,10,20,10,10,10,20,10,10,10
deck services near me,USD,10,0%,-67%,High,71,19.51,51.03,30%,,,Y,,10,10,10,10,10,10,10,10,0,10,10,10
patio and deck contractors near me,USD,20,-86%,-33%,High,75,31.07,63.6,10%,,,Y,,40,30,10,10,20,10,10,10,10,140,10,20
wood deck contractors near me,USD,10,?,0%,High,100,,,,,,Y,,10,0,0,0,10,0,0,0,0,0,0,10
local deck builders near me,USD,10,0%,?,Low,29,,,,,,Y,,10,10,10,20,10,10,10,10,10,10,0,10
composite deck installers near me,USD,10,0%,-100%,Unknown,,,,,,,Y,,10,0,10,0,0,10,0,0,10,0,0,0
backyard deck builders near me,USD,10,-100%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,10,10,0,10,0,0
