Ad group report
"April 16, 2026 - May 15, 2026"
Ad group status,Ad group,Campaign,Currency code,Target CPA,Status,Status reasons,Ad group type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand Inclusions,Locations of interest,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,Loudoun County - Deck Builder - Lead Gen,Loudoun Decks - Lead Gen - Demand Gen 2026,USD, --,Not eligible,campaign paused; unknown, --,USD,3.00,"20,089",856,4.26%,0.07,60.26,[],"[geo_target_criterion_id: 	 2840
localized_full_name: ""United States""
name: ""United States""
country_code: ""US""
]",0.00,0,0.00,158,0.00%,0.00,0.38,0.00
Enabled,Deck Builder - South Riding,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,175.98,219,7,3.20%,5.51,38.54,[],[],0.00,0,0.00,7,0.00%,0.00,5.51,0.00
Enabled,Deck Repair & Refinishing,Fairfax-Search-Search - Deck Leads - VA - May 2025,USD, --,Not eligible,campaign paused; unknown,Standard,USD,142.91,118,3,2.54%,5.62,16.86,[],[],0.00,0,0.00,3,0.00%,0.00,5.62,0.00
Enabled,Composite Deck Cost,SRCH | Composite | 3 Counties | Calls,USD, --,Eligible,unknown,Standard,USD,323.87,201,12,5.97%,5.42,65.10,[],[],0.00,0,0.00,12,8.33%,1.00,5.42,65.10
Enabled,TimberTech/AZEK,SRCH | Composite | 3 Counties | Calls,USD, --,Eligible,unknown,Standard,USD,0.00,1,0,0.00%,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0,0.00
Enabled,Deck Restoration - Refinishing,Deck Repair - Loudoun County,USD,75.00,Not eligible,campaign paused; unknown,Standard,USD,427.33,133,7,5.26%,8.12,56.84,[],[],0.00,0,0.00,7,14.29%,1.00,8.12,56.84
Enabled,Replace Wood With Composite,SRCH | Replacement + Resurfacing | 3 Counties | Calls,USD, --,Eligible,unknown,Standard,USD,0.00,1,0,0.00%,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0,0.00
Enabled,Deck Resurfacing,SRCH | Replacement + Resurfacing | 3 Counties | Calls,USD, --,Eligible,unknown,Standard,USD,789.23,13,1,7.69%,10.26,10.26,[],[],0.00,0,0.00,1,0.00%,0.00,10.26,0.00
Enabled,Deck Builder - Sterling,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,1415.14,26,1,3.85%,36.79,36.79,[],[],0.00,0,0.00,1,0.00%,0.00,36.79,0.00
Enabled,Loudoun Decks,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,892.55,162,7,4.32%,20.66,144.59,[],"[geo_target_criterion_id: 	 1027266
localized_full_name: ""Reston""
name: ""Reston, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027066
localized_full_name: ""Centreville""
name: ""Centreville, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027080
localized_full_name: ""Clifton""
name: ""Clifton, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 9059726
localized_full_name: ""Fairfax County""
name: ""Fairfax County, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027188
localized_full_name: ""Leesburg""
name: ""Leesburg, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027117
localized_full_name: ""Fairfax Station""
name: ""Fairfax Station, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027261
localized_full_name: ""Purcellville""
name: ""Purcellville, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027059
localized_full_name: ""Burke""
name: ""Burke, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027018
localized_full_name: ""Aldie""
name: ""Aldie, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027296
localized_full_name: ""Sterling""
name: ""Sterling, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027317
localized_full_name: ""Vienna""
name: ""Vienna, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027028
localized_full_name: ""Ashburn""
name: ""Ashburn, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027163
localized_full_name: ""Herndon""
name: ""Herndon, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027067
localized_full_name: ""Chantilly""
name: ""Chantilly, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027147
localized_full_name: ""Great Falls""
name: ""Great Falls, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027116
localized_full_name: ""Fairfax""
name: ""Fairfax, Virginia, United States""
country_code: ""US""
]",0.00,0,0.00,7,0.00%,0.00,20.66,0.00
Enabled,Deck Renovation,Deck Repair - Loudoun County,USD,75.00,Not eligible,campaign paused; unknown,Standard,USD,537.67,195,10,5.13%,10.48,104.85,[],[],0.00,0,0.00,10,10.00%,1.00,10.48,104.85
Enabled,Deck Builder - Hamilton,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,217.92,125,3,2.40%,9.08,27.24,[],[],0.00,0,0.00,3,33.33%,1.00,9.08,27.24
Enabled,Trex,SRCH | Composite | 3 Counties | Calls,USD, --,Eligible,unknown,Standard,USD,1430.36,28,3,10.71%,13.35,40.05,[],[],0.00,0,0.00,3,0.00%,0.00,13.35,0.00
Enabled,Brand Exact,SRCH | Branded | 3 Counties | Calls,USD, --,Eligible,unknown,Standard,USD,6893.75,8,5,62.50%,11.03,55.15,[],[],0.00,0,0.00,5,0.00%,0.00,11.03,0.00
Enabled,Deck Builder - Lovettsville,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,262.41,58,2,3.45%,7.61,15.22,[],[],0.00,0,0.00,2,0.00%,0.00,7.61,0.00
Enabled,Deck Repair - Loudoun County,Deck Repair - Loudoun County,USD,75.00,Not eligible,campaign paused; unknown,Standard,USD,814.69,"1,321",112,8.48%,9.61,1076.21,[],[],0.00,0,0.00,112,12.50%,14.00,9.61,76.87
Enabled,Brand Phrase,SRCH | Branded | 3 Counties | Calls,USD, --,Eligible,unknown,Standard,USD,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0,0.00
Enabled,Composite Decks,Fairfax-Search-Search - Deck Leads - VA - May 2025,USD, --,Not eligible,campaign paused; unknown,Standard,USD,0.00,12,0,0.00%,0,0.00,[],"[geo_target_criterion_id: 	 9059726
localized_full_name: ""Fairfax County""
name: ""Fairfax County, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 9059749
localized_full_name: ""Loudoun County""
name: ""Loudoun County, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027258
localized_full_name: ""Prince William County""
name: ""Prince William County, Virginia, United States""
country_code: ""US""
]",0.00,0,0,0,0.00%,0.00,0,0.00
Enabled,Deck Replacement,Deck Repair - Loudoun County,USD,75.00,Not eligible,campaign paused; unknown,Standard,USD,272.88,177,9,5.08%,5.37,48.30,[],[],0.00,0,0.00,9,0.00%,0.00,5.37,0.00
Enabled,Deck Builders Near Me,Fairfax-Search-Search - Deck Leads - VA - May 2025,USD, --,Not eligible,campaign paused; unknown,Standard,USD,442.92,654,29,4.43%,9.99,289.67,[],[],0.00,0,0.00,29,6.90%,2.00,9.99,144.84
Enabled,Deck Builder - Lansdowne,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,232.90,31,1,3.23%,7.22,7.22,[],[],0.00,0,0.00,1,0.00%,0.00,7.22,0.00
Enabled,Deck Builder - Broadlands,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,768.49,86,4,4.65%,16.52,66.09,[],[],0.00,0,0.00,4,25.00%,1.00,16.52,66.09
Enabled,Deck Builder - Brambleton,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,272.77,901,28,3.11%,8.78,245.76,[],[],0.00,0,0.00,28,0.00%,0.00,8.78,0.00
Enabled,Composite Decking,Fairfax-Search-Search - Deck Leads - VA - May 2025,USD, --,Not eligible,campaign paused; unknown,Standard,USD,211.76,131,2,1.53%,13.87,27.74,[],"[geo_target_criterion_id: 	 9059705
localized_full_name: ""Arlington County""
name: ""Arlington County, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027019
localized_full_name: ""Alexandria""
name: ""Alexandria, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 9059726
localized_full_name: ""Fairfax County""
name: ""Fairfax County, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 1027258
localized_full_name: ""Prince William County""
name: ""Prince William County, Virginia, United States""
country_code: ""US""
, geo_target_criterion_id: 	 9059749
localized_full_name: ""Loudoun County""
name: ""Loudoun County, Virginia, United States""
country_code: ""US""
]",0.00,0,0.00,2,50.00%,1.00,13.87,27.74
Enabled,Deck Builder - Purcellville,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,410.61,23,1,4.35%,9.44,9.44,[],[],0.00,0,0.00,1,0.00%,0.00,9.44,0.00
Enabled,Ad group 1,Premium Composite Decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,475.19,"5,405",299,5.53%,8.59,2568.43,[],[],0.00,0,0.00,299,6.69%,20.00,8.59,128.42
Enabled,Deck Builder - Stone Ridge,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,1459.58,24,3,12.50%,11.68,35.03,[],[],0.00,0,0.00,3,0.00%,0.00,11.68,0.00
Enabled,Deck Contractors Northern VA,Deck Repair - Loudoun County,USD,75.00,Not eligible,campaign paused; unknown,Standard,USD,2244.78,22,3,13.64%,16.46,49.39,[],[],0.00,0,0.00,3,33.33%,1.00,16.46,49.39
Enabled,Deck Builder - Arcola,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,0.00,43,0,0.00%,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0,0.00
Enabled,Deck Builder - Aldie,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,393.55,124,6,4.84%,8.13,48.80,[],[],0.00,0,0.00,6,0.00%,0.00,8.13,0.00
Enabled,Deck Builder - Middleburg,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,256.73,239,5,2.09%,12.27,61.36,[],[],0.00,0,0.00,5,20.00%,1.00,12.27,61.36
Enabled,Composite - Trex Repair,Deck Repair - Loudoun County,USD,75.00,Not eligible,campaign paused; unknown,Standard,USD,122.93,197,7,3.55%,3.46,24.22,[],[],0.00,0,0.00,7,0.00%,0.00,3.46,0.00
Enabled,Deck + Patio / Outdoor Living,Fairfax-Search-Search - Deck Leads - VA - May 2025,USD, --,Not eligible,campaign paused; unknown,Standard,USD,169.79,766,22,2.87%,5.91,130.06,[],[],0.00,0,0.00,22,9.09%,2.00,5.91,65.03
Enabled,Deck Builder - Ashburn,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,0.00,6,0,0.00%,0,0.00,[],"[geo_target_criterion_id: 	 1027028
localized_full_name: ""Ashburn""
name: ""Ashburn, Virginia, United States""
country_code: ""US""
]",0.00,0,0,0,0.00%,0.00,0,0.00
Enabled,Deck Builder - Round Hill,loudoun decks,USD, --,Not eligible,campaign paused; unknown,Standard,USD,463.18,88,3,3.41%,13.59,40.76,[],[],0.00,0,0.00,3,0.00%,0.00,13.59,0.00
