Ad report
"April 16, 2026 - May 15, 2026"
Ad status,Final URL,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Portrait image ID,Logo ID,Business name,Display Network image ID,Call to action text,Video ID,Ad name,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Ad strength,Ad strength improvements,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.
Enabled,https://www.ldndecks.com/composite-decks/, --, --, --, --, --,Composite Deck Cost, --,Projects From $15k+, --,Get A Real Deck Quote, --,Call LDN Decks, --,Trex Deck Pricing, --,TimberTech Pricing, --,Permits & HOA Handled, --,No Cheap Patch Work, --,Premium Deck Builder, --,Free Estimate, --, --, --, --, --, --, --, --, --, --, --,"Composite deck pricing depends on size, framing, railing, stairs, and material tier.", --,Serious deck projects from $15k+. Call for a clear budget range before you build., --,"We quote full custom composite decks, not small repair-only jobs or DIY material kits.", --,"Serving Loudoun, Fairfax, and Prince William County with premium deck estimates.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,Eligible,,Responsive search ad,Good,Add more headlines to increase your chances for better performance;Try adding a few more unique headlines or unpinning some assets,USD,428.28,152,12,7.89%,5.42,65.10,0.00,0,0.00,8.33%,1.00,65.10
Enabled,https://www.ldndecks.com/composite-decks/, --, --, --, --, --,Build A Composite Deck, --,No Stain. No Sanding., --,Northern VA Deck Pros, --,Call For Deck Quote, --,Premium Deck Contractor, --,Hidden Fastener Finish, --,25-50 Year Warranties, --,Free Consultation, --,Decks From $15k+, --,HOA Help Included, --, --, --, --, --, --, --, --, --, --, --,Stop maintaining old wood. Build a composite deck designed for long-term NoVA performance., --,"We help homeowners choose the right brand, color, railing, lighting, and layout.", --,Call-first estimates for high-quality custom composite deck projects in three counties., --,See before-and-after transformations and get a clear path from estimate to build., --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,USD,0.00,13,0,0.00%,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/composite-decks/, --, --, --, --, --,What Will A Deck Cost?, --,Composite Deck Pricing, --,Call For Budget Range, --,Full Builds From $15k+, --,Trex & AZEK Options, --,Deck Estimate Today, --,Built Right The First Time, --,5.0 Rated Deck Pros, --,HOA Help Included, --,No Staining Ever, --, --, --, --, --, --, --, --, --, --, --,"Compare composite brands, railing options, and project scope with a local deck specialist.", --,"Avoid surprise costs with clear scope, timeline, permits, and HOA details.", --,Call now if you are planning a serious composite deck project in Northern Virginia., --,"Premium materials, clean construction, and a realistic estimate before work begins.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines,USD,0.00,49,0,0.00%,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/composite-decks/, --, --, --, --, --,Composite Deck Builder, --,Custom Composite Decks, --,Projects From $15k+, --,Call LDN Decks Today, --,Permits & HOA Handled, --,5.0 Rated Contractor, --,Built For NoVA Homes, --,Low Maintenance Decks, --,Free Deck Estimate, --,Trex & TimberTech, --, --, --, --, --, --, --, --, --, --, --,"Custom composite decks for Loudoun, Fairfax, and Prince William County homeowners.", --,"Projects from $15k+. Call for a realistic estimate, timeline, and material recommendation.", --,"We build low-maintenance decks with permits, HOA, framing, decking, and railings handled.", --,"Trex, TimberTech, and AZEK options installed by a local 5.0 rated deck contractor.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines,USD,0.00,8,0,0.00%,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/composite-decks/, --, --, --, --, --,Trex Platinum Partner, --,Trex Deck Builder, --,Call LDN Decks Today, --,Projects From $15k+, --,Permits & HOA Handled, --,5.0 Rated Deck Builder, --,Loudoun Deck Builder, --,Fairfax Deck Builder, --,Composite Deck Experts, --,Free Deck Estimate, --, --, --, --, --, --, --, --, --, --, --,Build a low-maintenance Trex deck with a local 5.0 rated contractor. Projects from $15k+., --,"We handle design, permits, HOA, materials, and installation for premium Trex decks.", --,"Serving Loudoun, Fairfax, and Prince William County homeowners. Call for a fast estimate.", --,Upgrade from wood to a cleaner composite deck built for Northern Virginia weather., --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Composite | 3 Counties | Calls,Trex,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,USD,2002.50,20,3,15.00%,13.35,40.05,0.00,0,0.00,0.00%,0.00,0.00
Enabled,https://www.ldndecks.com/composite-decks/, --, --, --, --, --,TimberTech Certified, --,AZEK Deck Builder, --,Premium Composite Decks, --,Projects From $15k+, --,Permits & HOA Handled, --,Call LDN Decks, --,5.0 Rated Contractor, --,Fairfax Deck Builder, --,Loudoun Deck Builder, --,Free Deck Estimate, --, --, --, --, --, --, --, --, --, --, --,Build a premium TimberTech or AZEK deck with a Northern Virginia composite specialist., --,"Projects from $15k+. We handle permits, HOA coordination, design, and installation.", --,"Serving Loudoun, Fairfax, and Prince William County with high-end composite deck builds.", --,"Call now to discuss materials, timeline, budget, and the right composite decking option.", --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines,USD,0.00,1,0,0.00%,0,0.00,0.00,0,0,0.00%,0.00,0.00
Enabled,https://ldndecks.com/, --, --, --, --, --,Deck Builder Loudoun County VA, --,Deck Builder in Virginia, --,Licensed Deck Builder, --,Your Local Deck Builder, --,Find Loudoun Decks Online, --,Custom Decks & Repair, --,Loudoun Decks Llc, --,Composite decks, --,Loudoun County, --,At Prices That Fit Your Budget, --,Call For a Free Estimate, --,Outdoor living spaces, --,Get Started Today, --,Schedule A Free Consultation, --,Get A Free Estimate, --,"Deck Builder in Northern Virginia Serving Loudoun, Fairfax & Prince William Counties", --,Deck Builder Loudoun County VA | Custom Decks & Repair, --,Your Local Deck Builder In Northern Virginia, --,Deck Installing. Our Deck Building Process. Free Consultation, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Fairfax-Search-Search - Deck Leads - VA - May 2025,Deck Builders Near Me,Not eligible,campaign paused,Responsive search ad,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions,USD,579.36,340,20,5.88%,9.85,196.98,0.00,0,0.00,5.00%,1.00,196.98
Enabled,https://ldndecks.com/deck-builder-in-loudoun-county/, --, --, --, --, --,Deck Restoration Experts, --,Deck Resurfacing Near Me, --,Restore Your Deck Today, --,Deck Refinishing Specialists, --,Pergolas & Gazebos, --,Wide Range of Services, --,We Do It All, --,Contact Us, --,Custom Outdoor Living Spaces, --,Enhance Your Home's Beauty, --,Patios & Hardscapes, --,"Serving Loudoun County, VA", --,Get a Free Estimate, --,Craft Your Outdoor Oasis, --,"Custom Decks, Built to Last", --,"Our Team Designs and Builds Custom Decks, Patios, Porches, and Outdoor Spaces.", --,"We handle all permitting and code compliance, ensuring a smooth and stress-free experience", --,We Offer a Full Range of Outdoor Construction Services., --,Trusted Local Deck Builder Serving Loudoun County in Northern Virginia., --, --, --, --, --, --, --, --, --, --, --,deck-repair,loudoun,, --, --,,Deck Repair - Loudoun County,Deck Restoration - Refinishing,Not eligible,campaign paused,Responsive search ad,Excellent,,USD,427.33,133,7,5.26%,8.12,56.84,0.00,0,0.00,14.29%,1.00,56.84
Enabled,https://ldndecks.com/why-choose-us/, --, --, --, --, --,Broadlands Deck Builder, --,Deck Builders Near Me, --,Custom Decks Broadlands VA, --,Deck Builder Loudoun County, --,Free Deck Estimate Today, --,Licensed Deck Contractor VA, --,Composite Deck Broadlands, --,New Deck Construction, --,Deck Resurfacing Broadlands, --,Deck Replacement Experts, --,Broadlands Deck Company, --,Expert Deck Installation, --,Top Deck Builder in Virginia, --,Deck Contractor Near Me, --,Trex Deck Broadlands VA, --,"Top-rated deck builder in Broadlands. Custom, composite & Trex decks. Free estimate!", --,Licensed & insured. Serving Broadlands & Loudoun County. Free estimates. Call today!, --,"New deck construction, resurfacing & replacement. Serving Broadlands. Call today!", --,Composite & Trex decks built to last. Broadlands' trusted deck builder. Free quote!, --, --, --, --, --, --, --, --, --, --, --,deck-builder,broadlands,, --, --,,loudoun decks,Deck Builder - Broadlands,Not eligible,campaign paused,Responsive search ad,Excellent,,USD,1122.05,54,3,5.56%,20.20,60.59,0.00,0,0.00,33.33%,1.00,60.59
Enabled,https://ldndecks.com/services/new-decks, --, --, --, --, --,Deck Repair? LDN Decks, --,Deck Care: Protect Your Asset, --,Restore Your Trex Deck's Glory, --,Safety First, --,Northern Virginia, --,No obligation, --,Revive Your Outdoor Oasis, --,Request A Quote, --,Free Consultations, --,Structural Restoration, --,"Don't Replace, Repair", --,Get a Free Estimate, --,Tired Deck? We Can Help, --,"Restore Your Trex, Beautifully", --,Deck Refinishing? We Shine, --,LDN Decks provides homeowners in Northern Virginia with expert deck repair services., --,We specialize in deck restoration and structural repair., --,LDN Decks offers free consultations and work closely with homeowners to understand needs, --,Our team is committed to providing the best customer service., --, --, --, --, --, --, --, --, --, --, --,deck-repair,loudoun,, --, --,,Deck Repair - Loudoun County,Deck Renovation,Not eligible,campaign paused,Responsive search ad,Excellent,,USD,537.67,195,10,5.13%,10.48,104.85,0.00,0,0.00,10.00%,1.00,104.85
