Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,CTR,Avg. CPC,Conversions,Cost / conv.,Conv. rate,Bid strategy type
Enabled,SRCH | Branded | 3 Counties | Calls,15.00, --,Daily,USD,Eligible (Learning),bidding strategy learning,94.80,Search,8,5,62.50%,11.03,55.15,5,62.50%,11.03,0.00,0.00,0.00%,Maximize Conversions
Paused,Loudoun Decks - Lead Gen - Demand Gen 2026,1.00, --,Daily,USD,Paused,campaign paused, --,Demand Gen,"20,089",856,4.26%,0.07,60.26,158,0.79%,0.38,0.00,0.00,0.00%,Maximize Conversions
Paused,Premium Composite Decks,1.00,Portfolio Maximise conversions_6926840561-300-1777124580740- created on 04/25/2026 06:43 AM,Daily,USD,Paused,campaign paused, --,Search,"5,405",299,5.53%,8.59,2568.43,299,5.53%,8.59,20.00,128.42,6.69%,Maximize Conversions
Paused,Fairfax-Search-Search - Deck Leads - VA - May 2025,1.00,Portfolio Maximise conversions_6926840561-300-1777124580740- created on 04/25/2026 06:43 AM,Daily,USD,Paused,campaign paused, --,Search,"1,681",56,3.33%,8.29,464.33,56,3.33%,8.29,5.00,92.87,8.93%,Maximize Conversions
Paused,PMAX cu remarketing,60.00, --,Daily,USD,Paused,campaign paused, --,Performance Max,"23,029",549,2.38%,2.06,1132.22,465,2.02%,2.43,9.00,125.80,1.64%,Maximize Conversions
Enabled,SRCH | Composite | 3 Counties | Calls,90.00, --,Daily,USD,Eligible (Learning),bidding strategy learning,95.32,Search,251,15,5.98%,7.01,105.15,15,5.98%,7.01,1.00,105.15,6.67%,Maximize Conversions
Enabled,SRCH | Replacement + Resurfacing | 3 Counties | Calls,45.00, --,Daily,USD,Eligible (Learning),bidding strategy learning,94.80,Search,54,4,7.41%,26.21,104.85,4,7.41%,26.21,0.00,0.00,0.00%,Maximize Conversions
Paused,Pmax - Dec4,1.00, --,Daily,USD,Paused,campaign paused, --,Performance Max,"83,146","69,199",83.23%,0.01,717.05,142,0.17%,5.05,4.00,179.26,0.01%,Maximize Conversions (Target CPA)
Paused,Centreville Deck Builder,1.00, --,Daily,USD,Paused,campaign paused, --,Smart,"6,657",81,1.22%,1.02,82.25,81,1.22%,1.02,0.00,0.00,0.00%,Maximize clicks
Paused,loudoun decks,33.00, --,Daily,USD,Paused,campaign paused, --,Search,"2,332",75,3.22%,11.43,857.39,75,3.22%,11.43,4.00,214.35,5.33%,Maximize Conversions
Paused,Deck Repair - Loudoun County,1.00, --,Daily,USD,Paused,campaign paused; limited by budget, --,Search,"2,045",148,7.24%,9.19,1359.79,148,7.24%,9.19,17.00,79.99,11.49%,Maximize Conversions (Target CPA)
