Campaign,Ad group,Match type,Keyword,Intent,Landing page
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Wood to Composite Replacement,Exact,[replace wood deck with composite],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Wood to Composite Replacement,Exact,[replace deck boards with composite],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Wood to Composite Replacement,Exact,[wood deck replacement with composite],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Wood to Composite Replacement,Phrase,"replace wood deck with composite",High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Wood to Composite Replacement,Phrase,"replace deck boards with composite",High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Wood to Composite Replacement,Phrase,"wood deck to composite deck",High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Composite Deck Replacement,Exact,[composite deck replacement],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Composite Deck Replacement,Exact,[composite deck replacement near me],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Composite Deck Replacement,Phrase,"composite deck replacement",High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Composite Deck Replacement,Phrase,"composite deck contractor near me",Medium-high buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Trex Replacement,Exact,[trex deck replacement],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Trex Replacement,Exact,[trex deck installer near me],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Trex Replacement,Phrase,"trex deck replacement",High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Trex Replacement,Phrase,"trex deck contractor",Medium-high buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,TimberTech AZEK Replacement,Exact,[timbertech deck replacement],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,TimberTech AZEK Replacement,Exact,[azek deck replacement],High buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,TimberTech AZEK Replacement,Phrase,"timbertech deck contractor",Medium-high buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,TimberTech AZEK Replacement,Phrase,"azek deck installer",Medium-high buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Fiberon Comparison,Exact,[fiberon deck installer near me],Medium buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Fiberon Comparison,Exact,[fiberon decking contractor],Medium buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Fiberon Comparison,Phrase,"fiberon deck installer",Medium buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Fiberon Comparison,Phrase,"fiberon decking contractor",Medium buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Resurface vs Replace,Exact,[resurface deck with composite],Medium-high buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Resurface vs Replace,Phrase,"resurface deck with composite",Medium-high buying intent,/replace-wood-deck-with-composite-northern-virginia
SRCH | Wood to Composite Replacement | 3 Counties | Leads,Resurface vs Replace,Phrase,"deck resurfacing vs replacement",Decision intent,/deck-resurfacing-vs-replacement
