Shared set,Keyword,Match type
PRO Negative Keywords,jobs,Broad
PRO Negative Keywords,hiring,Broad
PRO Negative Keywords,career,Broad
PRO Negative Keywords,careers,Broad
PRO Negative Keywords,salary,Broad
PRO Negative Keywords,diy,Broad
PRO Negative Keywords,do it yourself,Broad
PRO Negative Keywords,plans,Broad
PRO Negative Keywords,blueprint,Broad
PRO Negative Keywords,blueprints,Broad
PRO Negative Keywords,cheap,Broad
PRO Negative Keywords,cheapest,Broad
PRO Negative Keywords,free,Broad
PRO Negative Keywords,used,Broad
PRO Negative Keywords,pallets,Broad
PRO Negative Keywords,home depot,Broad
PRO Negative Keywords,lowes,Broad
PRO Negative Keywords,lowe's,Broad
PRO Negative Keywords,materials,Broad
PRO Negative Keywords,lumber,Broad
PRO Negative Keywords,stain,Broad
PRO Negative Keywords,staining,Broad
PRO Negative Keywords,paint,Broad
PRO Negative Keywords,painting,Broad
PRO Negative Keywords,sealer,Broad
PRO Negative Keywords,sealing,Broad
PRO Negative Keywords,sanding,Broad
PRO Negative Keywords,powerwash,Broad
PRO Negative Keywords,pressure wash,Broad
PRO Negative Keywords,kit,Broad
PRO Negative Keywords,kits,Broad
PRO Negative Keywords,handyman,Broad
PRO Negative Keywords,small repair,Broad
PRO Negative Keywords,repair only,Broad
PRO Negative Keywords,deck boards,Broad
PRO Negative Keywords,deck screws,Broad
PRO Negative Keywords,calculator,Broad
PRO Negative Keywords,wholesale,Broad
