Campaign,Keyword,Match type,Status
SRCH | Composite | 3 Counties | Calls,repair,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck repair,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck repair near me,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck repair company,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck repair contractor,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck refinishing,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck restoration,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck staining,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck sealing,Broad,Paused
SRCH | Composite | 3 Counties | Calls,deck painting,Broad,Paused
SRCH | Composite | 3 Counties | Calls,power washing,Broad,Paused
SRCH | Composite | 3 Counties | Calls,pressure washing,Broad,Paused
SRCH | Composite | 3 Counties | Calls,board repair,Broad,Paused
SRCH | Composite | 3 Counties | Calls,railing repair,Broad,Paused
SRCH | Composite | 3 Counties | Calls,stair repair,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,repair,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck repair,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck repair near me,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck repair company,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck repair contractor,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck refinishing,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck restoration,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck staining,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck sealing,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck painting,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,power washing,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,pressure washing,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,board repair,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,railing repair,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,stair repair,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,small deck repair,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,minor deck repair,Broad,Paused
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck repair cost,Broad,Paused
