Campaign,Keyword,Match type,Status
SRCH | Composite | 3 Counties | Calls,decking boards,Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,decking material,Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,decking materials,Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,deck boards,Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,trex decking,Exact,Enabled
SRCH | Composite | 3 Counties | Calls,trex decking boards,Exact,Enabled
SRCH | Composite | 3 Counties | Calls,deck trex,Exact,Enabled
SRCH | Composite | 3 Counties | Calls,fiberon decking,Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck refinishing,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck restoration,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck staining,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck sealing,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck painting,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,power washing,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,pressure washing,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,board repair,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,railing repair,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,stair repair,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,small deck repair,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,minor deck repair,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck repair cost,Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,sunburst decks,Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,nova deck doctor,Exact,Enabled
