Shared set,Keyword,Match type
PRO Negative Keywords,jobs,Phrase
PRO Negative Keywords,hiring,Phrase
PRO Negative Keywords,career,Phrase
PRO Negative Keywords,careers,Phrase
PRO Negative Keywords,salary,Phrase
PRO Negative Keywords,diy,Phrase
PRO Negative Keywords,do it yourself,Phrase
PRO Negative Keywords,plans,Phrase
PRO Negative Keywords,blueprint,Phrase
PRO Negative Keywords,blueprints,Phrase
PRO Negative Keywords,cheap,Phrase
PRO Negative Keywords,cheapest,Phrase
PRO Negative Keywords,free,Phrase
PRO Negative Keywords,used,Phrase
PRO Negative Keywords,pallets,Phrase
PRO Negative Keywords,home depot,Phrase
PRO Negative Keywords,lowes,Phrase
PRO Negative Keywords,lowe's,Phrase
PRO Negative Keywords,materials only,Phrase
PRO Negative Keywords,lumber only,Phrase
PRO Negative Keywords,deck plans,Phrase
PRO Negative Keywords,deck design software,Phrase
PRO Negative Keywords,deck calculator,Phrase
PRO Negative Keywords,deck cost calculator,Phrase
PRO Negative Keywords,stain,Phrase
PRO Negative Keywords,staining,Phrase
PRO Negative Keywords,paint,Phrase
PRO Negative Keywords,painting,Phrase
PRO Negative Keywords,sealer,Phrase
PRO Negative Keywords,sealing,Phrase
PRO Negative Keywords,sanding,Phrase
PRO Negative Keywords,powerwash,Phrase
PRO Negative Keywords,pressure wash,Phrase
PRO Negative Keywords,kit,Phrase
PRO Negative Keywords,kits,Phrase
PRO Negative Keywords,handyman,Phrase
PRO Negative Keywords,small repair,Phrase
PRO Negative Keywords,repair only,Phrase
PRO Negative Keywords,deck boards,Phrase
PRO Negative Keywords,deck screws,Phrase
PRO Negative Keywords,wholesale,Phrase
