Campaign,Keyword,Criterion Type,Status
SRCH | Composite | 3 Counties | Calls,decking boards,Negative Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,decking material,Negative Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,decking materials,Negative Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,deck boards,Negative Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,trex decking,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,trex decking boards,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,deck trex,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,fiberon decking,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck refinishing,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck restoration,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck staining,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck sealing,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck painting,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,power washing,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,pressure washing,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,board repair,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,railing repair,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,stair repair,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,small deck repair,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,minor deck repair,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,deck repair cost,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,sunburst decks,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,nova deck doctor,Negative Exact,Enabled
