Campaign,Ad group,Keyword,Criterion Type,Status
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,trex,Negative Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,timbertech,Negative Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,azek,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,trex,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,timbertech,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,azek,Negative Phrase,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,composite,Negative Phrase,Enabled
SRCH | Composite | 3 Counties | Calls,,glk custom decking,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,,glk custom decking,Negative Exact,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,glk custom decking,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,sundeck medics,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,,sundeck medics,Negative Exact,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,sundeck medics,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,valer deck and patio,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,,valer deck and patio,Negative Exact,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,valer deck and patio,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,deck man reviews,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,,deck man reviews,Negative Exact,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,deck man reviews,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,armor fence deck & patio nova,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,,armor fence deck & patio nova,Negative Exact,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,armor fence deck & patio nova,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,veterans choice deck and fence,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,,veterans choice deck and fence,Negative Exact,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,veterans choice deck and fence,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,nova decks and exteriors reviews,Negative Exact,Enabled
SRCH | Replacement + Resurfacing | 3 Counties | Calls,,nova decks and exteriors reviews,Negative Exact,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,nova decks and exteriors reviews,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex board,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex boards,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex deck panels,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex enhance,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex enhance 16 ft,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex enhance basics 1 in x 6 in x 16 ft clam shell grooved scalloped composite deck board,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex enhance naturals,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex toasted sand decking,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,toasted sand trex,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex rocky harbor decking,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex honey grove,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,honey grove trex,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex coastal bluff,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex select pebble gray,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,trex select millstone,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,timbertech prime,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,timbertech terrain collection,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,timbertech mahogany,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,timbertech coconut husk,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,timbertech composite boards,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,fiberon concordia horizon,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,fiberon decking,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,deckorators decking,Negative Exact,Enabled
SRCH | Composite | 3 Counties | Calls,,wpc decking price,Negative Exact,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,affordable,Negative Phrase,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,cheap,Negative Phrase,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,amish,Negative Phrase,Enabled
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,,deck builders manassas va,Negative Exact,Enabled
