keyword,search_volume,kd,cpc,competition,intent,competitor_count,best_competitor_position,best_competitor_domain,best_competitor_url,all_competitors,our_position,our_url,opportunity_score,serp_features
deck repair,9900,0,13.59000015258789,0.38999998569488525,commercial,1,4,deckguru.com,https://deckguru.com/deck-replacement/,deckguru.com #4,,,1980.0,"local_pack, people_also_ask, organic, product_considerations, related_searches"
deck builders,90500,18,13.109999656677246,0.25999999046325684,commercial,1,48,decksva.com,https://www.decksva.com/,decksva.com #48,,,1846.94,"local_pack, people_also_ask, organic, related_searches, popular_products, images"
contractor for screened in porch,5400,0,13.710000038146973,0.12999999523162842,commercial,3,2,deckscapesofva.com,https://deckscapesofva.com/services/screened-porches,deckscapesofva.com #2; sunburstdeck.com #36; fortress.builders #44,,,1800.0,"local_pack, organic, people_also_ask, perspectives, related_searches"
board on board fence,4400,0,0.7200000286102295,0.8600000143051147,transactional,1,2,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/board-on-board/,fenceanddeckconnection.com #2,,,1466.67,"images, people_also_ask, organic, video, product_considerations, related_searches, popular_products"
deck and fence connection,2400,28,5.679999828338623,0.5,transactional,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #1,,,1200.0,"organic, people_also_search, related_searches, third_party_reviews, google_reviews, knowledge_graph, images"
deck fence connection,2400,27,5.679999828338623,0.5,transactional,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #1,,,1200.0,"organic, video, popular_products, people_also_ask, images, related_searches, knowledge_graph, google_reviews, third_party_reviews"
fence & deck connection,2400,24,5.679999828338623,0.5,commercial,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #1,,,1200.0,"local_pack, organic, people_also_search, video, related_searches, images"
fence and deck connection,2400,49,5.679999828338623,0.5,transactional,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #1,,,1200.0,"local_pack, organic, people_also_ask, people_also_search, video, short_videos, related_searches, images"
fence and deck connection maryland,2400,49,5.679999828338623,0.5,commercial,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/,fenceanddeckconnection.com #1,,,1200.0,"organic, local_pack, people_also_ask, people_also_search, related_searches"
designing pools,8100,5,5.139999866485596,0.33000001311302185,informational,1,6,deckscapesofva.com,https://deckscapesofva.com/blog/designing-your-northern-va-pool,deckscapesofva.com #6,,,1157.14,"ai_overview, organic, video, local_pack, related_searches, images"
patio builders near me,4400,20,11.199999809265137,0.6700000166893005,commercial,1,3,battlefielddecks.com,https://battlefielddecks.com/,battlefielddecks.com #3,,,1100.0,"local_pack, people_also_ask, organic, related_searches"
decking footers,9900,0,0.6600000262260437,0.9300000071525574,transactional,1,10,deckguru.com,https://deckguru.com/blog/best-types-of-deck-footings-for-your-home/,deckguru.com #10,,,900.0,"images, popular_products, people_also_ask, organic, video, perspectives, related_searches"
concrete driveway refurbishment,8100,0,13.880000114440918,0.6600000262260437,commercial,1,8,fairfaxcontractor.com,https://fairfaxcontractor.com/refinishing-a-concrete-driveway-without-replacement/,fairfaxcontractor.com #8,,,900.0,"ai_overview, local_pack, people_also_ask, video, organic, perspectives, related_searches, images"
horizontal wooden fence,5400,0,0.3799999952316284,1,transactional,1,5,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #5,,,900.0,"images, popular_products, video, organic, people_also_ask, related_searches"
screened porch contractors,5400,0,13.710000038146973,0.12999999523162842,commercial,1,5,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/screened-porches/,fenceanddeckconnection.com #5,,,900.0,"local_pack, organic, people_also_ask, images, perspectives, related_searches"
timbertech decking,22200,0,2.319999933242798,0.8700000047683716,navigational,1,24,sunburstdeck.com,https://sunburstdeck.com/what-is-timbertech-made-of/,sunburstdeck.com #24,,,888.0,"organic, popular_products, people_also_ask, people_also_search, product_considerations, video, perspectives, related_searches, images"
timbertech decks,22200,9,2.319999933242798,0.8700000047683716,navigational,1,24,sunburstdeck.com,https://sunburstdeck.com/guide-to-timbertech-decking-costs/,sunburstdeck.com #24,,,888.0,"organic, people_also_ask, images, compare_sites, video, popular_products, related_searches"
deck and patios,5400,31,4.130000114440918,1,commercial,1,6,battlefielddecks.com,https://battlefielddecks.com/,battlefielddecks.com #6,,,771.43,"local_pack, organic, people_also_ask, images, related_searches, popular_products"
horizontal fences wooden,5400,0,0.3799999952316284,1,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,771.43,"images, popular_products, organic, video, related_searches"
horizontal wood fence,5400,0,0.3799999952316284,1,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,771.43,"images, video, product_considerations, organic, people_also_ask, popular_products, related_searches"
horizontal wooden fences,5400,0,0.3799999952316284,1,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,771.43,"images, organic, popular_products, video, related_searches"
wood fence horizontal,5400,0,0.3799999952316284,1,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,771.43,"images, organic, popular_products, people_also_ask, video, discussions_and_forums, related_searches"
wood fences horizontal,5400,0,0.6000000238418579,1,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,771.43,"images, organic, popular_products, video, people_also_ask, related_searches"
wooden horizontal fence,5400,0,0.3799999952316284,1,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,771.43,"images, popular_products, organic, people_also_ask, video, related_searches"
deck foundations footings,9900,0,0.6600000262260437,0.9300000071525574,transactional,1,12,deckguru.com,https://deckguru.com/blog/best-types-of-deck-footings-for-your-home/,deckguru.com #12,,,761.54,"video, images, organic, short_videos, popular_products, related_searches"
horizontal wood fences,5400,0,0.3799999952316284,1,transactional,1,7,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #7,,,675.0,"images, video, people_also_ask, organic, popular_products, related_searches"
patio builder near me,4400,26,11.199999809265137,0.6700000166893005,commercial,1,6,battlefielddecks.com,https://battlefielddecks.com/,battlefielddecks.com #6,,,628.57,"local_pack, people_also_ask, organic, related_searches"
concrete driveway refinish,4400,0,5.179999828338623,0.949999988079071,commercial,1,6,fairfaxcontractor.com,https://fairfaxcontractor.com/refinishing-a-concrete-driveway-without-replacement/,fairfaxcontractor.com #6,,,628.57,"ai_overview, video, people_also_ask, discussions_and_forums, organic, perspectives, short_videos, images, local_pack, related_searches"
underdeck drainage systems,8100,9,2.240000009536743,1,commercial,1,12,deckscapesofva.com,https://deckscapesofva.com/blog/what-is-under-deck-drainage-and-best-options,deckscapesofva.com #12,,,623.08,"video, organic, images, popular_products, people_also_search, people_also_ask, perspectives, related_searches"
fence horizontal wood,5400,0,0.3799999952316284,1,transactional,1,8,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #8,,,600.0,"images, popular_products, people_also_ask, video, organic, related_searches"
four season rooms,5400,0,8.819999694824219,0.8600000143051147,commercial,1,8,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #8,,,600.0,"organic, images, people_also_ask, video, perspectives, related_searches"
4 season sunrooms,5400,0,6.420000076293945,0.9100000262260437,transactional,1,10,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #10,,,490.91,"organic, local_pack, people_also_ask, video, discussions_and_forums, popular_products, related_searches, knowledge_graph, images"
board and board fence,4400,0,0.7200000286102295,0.8600000143051147,transactional,1,8,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/board-on-board/,fenceanddeckconnection.com #8,,,488.89,"images, people_also_ask, popular_products, organic, video, related_searches"
deck repairs,9900,0,13.59000015258789,0.38999998569488525,commercial,1,21,deckguru.com,https://deckguru.com/deck-repair-in-fairfax-va/,deckguru.com #21,,,450.0,"local_pack, people_also_ask, video, organic, related_searches, images"
privacy fence board on board,1300,0,0.6700000166893005,0.7300000190734863,transactional,1,2,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/board-on-board/,fenceanddeckconnection.com #2,,,433.33,"images, people_also_ask, video, organic, popular_products, related_searches"
north deck,4400,9,2.130000114440918,0.05000000074505806,navigational,1,10,northerndeckworks.com,https://www.northerndeckworks.com/,northerndeckworks.com #10,,,400.0,"organic, people_also_ask, video, images, related_searches"
fire pit and decking,3600,0,1.2300000190734863,1,transactional,1,8,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #8,,,400.0,"images, people_also_ask, organic, video, related_searches"
3 season sunroom,3600,0,7.179999828338623,0.23000000417232513,transactional,1,8,steadfastinc.com,https://www.steadfastinc.com/blog/converting-porch-into-3-season-room,steadfastinc.com #8,,,400.0,"organic, video, discussions_and_forums, popular_products, people_also_ask, images, related_searches"
vinyl siding contractors near me,5400,16,23.440000534057617,0.8399999737739563,commercial,1,13,commconstruct.com,https://commconstruct.com/siding,commconstruct.com #13,,,385.71,"local_pack, people_also_ask, organic, related_searches"
4 seasons room,5400,3,8.819999694824219,0.8600000143051147,transactional,1,13,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #13,,,385.71,"ai_overview, organic, people_also_ask, images, video, related_searches, knowledge_graph, google_reviews"
custom decks near me,1900,30,10.899999618530273,0.25,commercial,1,4,battlefielddecks.com,https://battlefielddecks.com/,battlefielddecks.com #4,,,380.0,"local_pack, people_also_ask, organic, related_searches"
hardie plank siding installers,6600,17,13.25,0.1599999964237213,navigational,1,17,commconstruct.com,https://commconstruct.com/siding,commconstruct.com #17,,,366.67,"local_pack, organic, people_also_ask, discussions_and_forums, related_searches"
build deck price,2900,21,5.309999942779541,0.49000000953674316,commercial,1,7,deckscapesofva.com,https://deckscapesofva.com/blog/deck-cost-northern-va,deckscapesofva.com #7,,,362.5,"ai_overview, organic, people_also_ask, video, perspectives, related_searches, images"
screen porch cost,2900,0,9.869999885559082,0.6700000166893005,commercial,1,7,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #7,,,362.5,"featured_snippet, people_also_ask, organic, video, popular_products, related_searches, images"
screened in porch prices,2900,0,9.869999885559082,0.6700000166893005,informational,1,7,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #7,,,362.5,"featured_snippet, organic, people_also_ask, people_also_search, popular_products, video, related_searches, images"
screen eze,5400,0,2.0399999618530273,1,informational,1,14,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/wp-content/uploads/2024/06/ScreenEze-brochure.pdf,fenceanddeckconnection.com #14,,,360.0,"organic, video, popular_products, people_also_ask, people_also_search, related_searches, images"
fire pit on a deck,3600,0,1.2300000190734863,1,transactional,1,9,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #9,,,360.0,"ai_overview, organic, people_also_ask, video, discussions_and_forums, popular_products, perspectives, related_searches, images"
four seasons room cost,720,0,7.460000038146973,0.8199999928474426,informational,1,1,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #1,,,360.0,"ai_overview, organic, people_also_ask, local_pack, video, images, related_searches"
how wide are decking boards,1000,0,0.38999998569488525,0.699999988079071,informational,1,2,deckguru.com,https://deckguru.com/how-wide-are-deck-boards/,deckguru.com #2,,,333.33,"ai_overview, organic, people_also_ask, video, related_searches, images"
how wide is a deck board,1000,0,0.38999998569488525,0.699999988079071,informational,1,2,deckguru.com,https://deckguru.com/how-wide-are-deck-boards/,deckguru.com #2,,,333.33,"ai_overview, images, people_also_ask, organic, related_searches"
how wide is deck board,1000,0,0.38999998569488525,0.699999988079071,informational,1,2,deckguru.com,https://deckguru.com/how-wide-are-deck-boards/,deckguru.com #2,,,333.33,"ai_overview, images, people_also_ask, organic, video, related_searches"
how wide is decking boards,1000,0,0.38999998569488525,0.699999988079071,informational,1,2,deckguru.com,https://deckguru.com/how-wide-are-deck-boards/,deckguru.com #2,,,333.33,"ai_overview, organic, people_also_ask, video, images, related_searches"
screened porch cost,2900,1,9.869999885559082,0.6700000166893005,commercial,1,8,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #8,,,322.22,"ai_overview, organic, people_also_ask, popular_products, related_searches, images"
4 season rooms,5400,0,8.819999694824219,0.8600000143051147,commercial,1,16,sunburstdeck.com,https://sunburstdeck.com/three-season-vs-four-season-sunrooms/,sunburstdeck.com #16,,,317.65,"ai_overview, organic, people_also_ask, video, local_pack, perspectives, related_searches, images"
deck with fire table,3600,0,1.2300000190734863,1,transactional,1,11,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #11,,,300.0,"ai_overview, organic, video, popular_products, images, discussions_and_forums, related_searches"
fire pits in decking,3600,0,1.2300000190734863,1,transactional,1,11,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/blog/2021/03/11/how-to-safely-use-a-fire-pit-on-your-wood-or-composite-deck/,fenceanddeckconnection.com #11,,,300.0,"ai_overview, organic, people_also_ask, images, video, short_videos, related_searches, popular_products"
board and batten fence,590,0,1.340000033378601,0.49000000953674316,transactional,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/board-and-batten/,fenceanddeckconnection.com #1,,,295.0,"images, people_also_ask, organic, video, related_searches"
board batten fence,590,0,1.340000033378601,0.49000000953674316,transactional,1,1,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/board-and-batten/,fenceanddeckconnection.com #1,,,295.0,"images, organic, people_also_ask, video, discussions_and_forums, related_searches"
screened-in porch cost,2900,0,9.869999885559082,0.6700000166893005,commercial,1,9,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #9,,,290.0,"organic, people_also_ask, popular_products, video, related_searches"
screening a porch cost,2900,0,9.869999885559082,0.6700000166893005,informational,1,9,deckscapesofva.com,https://deckscapesofva.com/blog/porch-costs-northern-virginia,deckscapesofva.com #9,,,290.0,"ai_overview, organic, people_also_ask, video, related_searches"
under deck drainage system,8100,14,2.240000009536743,1,transactional,1,27,deckscapesofva.com,https://deckscapesofva.com/blog/what-is-under-deck-drainage-and-best-options,deckscapesofva.com #27,,,289.29,"images, video, organic, popular_products, people_also_search, product_considerations, people_also_ask, perspectives, related_searches"
under decking drainage system,8100,12,2.240000009536743,1,transactional,1,27,deckscapesofva.com,https://deckscapesofva.com/blog/what-is-under-deck-drainage-and-best-options,deckscapesofva.com #27,,,289.29,"video, organic, images, popular_products, people_also_ask, perspectives, related_searches"
fiber cement siding installer,8100,16,8.079999923706055,0.029999999329447746,commercial,1,28,commconstruct.com,https://commconstruct.com/siding,commconstruct.com #28,,,279.31,"local_pack, people_also_ask, organic, video, related_searches"
skirting for deck,8100,0,0.5799999833106995,0.8299999833106995,transactional,1,28,deckguru.com,https://deckguru.com/blog/deck-skirting-ideas-2025/,deckguru.com #28,,,279.31,"images, people_also_ask, organic, popular_products, video, related_searches"
step decking,3600,2,1.059999942779541,0.25,transactional,1,12,deckguru.com,https://deckguru.com/deck-step-ideas/,deckguru.com #12,,,276.92,"images, organic, popular_products, people_also_ask, related_searches"
horizontal privacy fence,1900,0,0.4099999964237213,1,transactional,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,271.43,"ai_overview, images, popular_products, organic, people_also_ask, short_videos, related_searches"
horizontal privacy fences,1900,0,0.4099999964237213,1,commercial,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,271.43,"images, organic, popular_products, video, related_searches"
privacy fence horizontal,1900,0,0.4099999964237213,1,commercial,1,6,fenceanddeckconnection.com,https://www.fenceanddeckconnection.com/fencing-wood/horizontal-privacy/,fenceanddeckconnection.com #6,,,271.43,"images, popular_products, people_also_ask, video, organic, related_searches"
