Campaign,Ad group,Keyword,Match type,Final URL,Status
SRCH | Composite | 3 Counties | Calls,Trex,trex deck builder,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck contractor,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck installer,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck builder near me,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck builder loudoun county,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck builder fairfax county,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck builder prince william county,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck builder,Exact,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck contractor,Exact,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck installer,Exact,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Trex,trex deck builder near me,Exact,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,timbertech deck builder,Phrase,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,timbertech deck contractor,Phrase,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,azek deck builder,Phrase,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,azek deck contractor,Phrase,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,timbertech deck installer,Phrase,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,azek deck installer,Phrase,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,timbertech deck builder near me,Phrase,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,azek deck builder near me,Phrase,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,timbertech deck builder,Exact,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,azek deck builder,Exact,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,timbertech deck contractor,Exact,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,azek deck contractor,Exact,https://www.ldndecks.com/timbertech-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck builder,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck contractor,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck installer,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite decking contractor,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck builder near me,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck contractor near me,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck builder loudoun county,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck builder fairfax county,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck builder prince william county,Phrase,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck builder,Exact,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck contractor,Exact,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck installer,Exact,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,composite deck builder near me,Exact,https://www.ldndecks.com/composite-decks/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,composite deck cost,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,composite deck cost near me,Phrase,https://www.ldndecks.com/composite-deck-cost-northern-virginia/,Paused
